Production ID,Production Date,Factory,Production Line,Shift,Machine ID,Machine Type,Operator ID,Product Category,Planned Production,Actual Production,Defective Units,Downtime (Minutes),Production Hours,Energy Consumption (kWh),Maintenance Cost ($),Unit Production Cost ($),Temperature (°C),Humidity (%),Quality Inspection Score
P00001,2025-05-21,Factory A,Line B,Morning,M107,Manual,OP1095,Air Conditioner,237,249,2,75.0,12,332,171.51,117.92,28.1,36,82.4
P00002,2025-04-23,Factory B,Line C,Morning,M111,Manual,OP1055,Washing Machine,459,421,17,19.0,9,1081,907.83,64.42,19.9,57,84.1
P00003,2025-10-02,Factory A,Line D,Morning,M136,Semi-Automatic,OP1081,Air Conditioner,202,159,5,73.0,9,1021,266.93,306.04,33.5,40,94.2
P00004,2025-05-23,Factory B,Line C,Morning,M124,Semi-Automatic,OP1027,Washing Machine,231,198,2,77.0,9,846,1849.9,94.45,25.6,75,87.5
P00005,2025-01-29,Factory A,Line A,Afternoon,M126,Semi-Automatic,OP1009,Television,292,266,18,112.0,10,517,1673.05,193.14,36.3,64,65.7
P00006,2025-10-15,Factory C,Line C,Night,M138,Semi-Automatic,OP1075,Microwave,251,235,11,28.0,9,821,1284.44,346.21,35.2,44,85.1
P00007,2025-07-17,Factory B,Line D,Night,M117,Manual,OP1002,Refrigerator,396,403,17,98.0,10,414,804.4,92.22,18.1,81,95.0
P00008,2025-04-02,Factory C,Line A,Night,M120,Manual,OP1065,Air Conditioner,314,265,6,19.0,10,1080,487.72,430.24,36.4,35,84.0
P00009,2025-02-27,Factory B,Line C,Morning,M104,Automatic,OP1073,Refrigerator,430,443,5,93.0,12,1135,266.11,348.26,33.3,43,86.4
P00010,2025-05-16,Factory C,Line D,Morning,M135,Manual,OP1089,Television,461,455,19,51.0,10,748,2259.07,216.88,23.0,39,73.5
P00011,2025-04-28,Factory C,Line B,Morning,M105,Manual,OP1081,Refrigerator,481,426,14,8.0,8,1180,893.03,243.52,23.6,66,68.6
P00012,2025-10-23,Factory B,Line B,Afternoon,M127,Automatic,OP1013,Refrigerator,247,189,13,45.0,12,720,1220.86,334.86,31.5,76,63.9
P00013,2025-02-25,Factory A,Line B,Morning,M135,Semi-Automatic,OP1018,Microwave,386,358,5,35.0,12,555,2198.77,57.04,34.2,70,63.9
P00014,2025-02-17,Factory A,Line B,Afternoon,M132,Semi-Automatic,OP1028,Microwave,456,470,3,21.0,12,302,2464.74,137.71,33.7,64,71.4
P00015,2025-03-21,Factory A,Line C,Morning,M104,Manual,OP1095,Air Conditioner,464,417,3,95.0,10,358,220.34,227.64,36.4,68,66.3
P00016,2025-04-06,Factory A,Line A,Night,M116,Semi-Automatic,OP1016,Air Conditioner,440,445,15,74.0,8,934,296.76,304.38,29.3,55,97.4
P00017,2025-05-03,Factory B,Line D,Morning,M120,Semi-Automatic,OP1041,Refrigerator,284,259,0,58.0,8,375,1390.32,240.0,20.6,57,95.2
P00018,2025-05-26,Factory A,Line D,Night,M120,Manual,OP1084,Air Conditioner,305,273,0,85.0,10,979,348.61,398.2,23.3,41,89.7
P00019,2025-05-25,Factory C,Line B,Night,M122,Automatic,OP1088,Washing Machine,259,240,16,62.0,10,1166,221.92,294.57,34.6,37,60.1
P00020,2025-03-24,Factory C,Line D,Night,M128,Manual,OP1002,Refrigerator,246,228,2,120.0,9,858,186.47,181.92,29.1,62,65.1
P00021,2025-01-21,Factory B,Line B,Night,M116,Manual,OP1014,Washing Machine,337,306,24,71.0,12,935,1898.75,418.45,22.7,45,99.0
P00022,2025-01-13,Factory A,Line C,Afternoon,M116,Semi-Automatic,OP1021,Refrigerator,270,233,12,111.0,8,1179,1229.66,109.82,36.4,57,72.2
P00023,2025-01-13,Factory C,Line B,Afternoon,M122,Semi-Automatic,OP1009,Washing Machine,296,283,11,82.0,12,995,2454.76,252.89,36.8,42,95.1
P00024,2025-10-25,Factory B,Line A,Morning,M139,Semi-Automatic,OP1045,Washing Machine,313,306,13,77.0,8,694,2258.81,105.78,18.9,62,60.1
P00025,2025-07-06,Factory B,Line A,Night,M122,Manual,OP1041,Refrigerator,455,445,19,,10,982,1080.14,196.02,23.9,43,
P00026,2025-11-12,Factory C,Line C,Afternoon,M136,Automatic,OP1039,Washing Machine,374,367,6,55.0,10,776,1160.29,312.14,28.2,85,96.0
P00027,2025-05-26,Factory C,Line C,Morning,M116,Manual,OP1040,Television,266,271,6,18.0,8,347,687.62,226.93,35.0,39,78.2
P00028,2025-12-23,Factory B,Line D,Afternoon,M116,Automatic,OP1084,Refrigerator,474,465,6,99.0,12,524,522.13,432.14,28.4,38,82.3
P00029,2025-03-10,Factory B,Line C,Afternoon,M140,Manual,OP1065,Microwave,242,199,14,114.0,9,1061,2167.59,216.28,33.0,75,71.1
P00030,2025-11-17,Factory A,Line C,Afternoon,M105,Manual,OP1037,Television,446,399,17,42.0,10,853,293.39,89.1,25.7,44,88.3
P00031,2025-07-28,Factory B,Line D,Afternoon,M104,Automatic,OP1054,Microwave,212,174,12,74.0,8,1177,2213.58,269.67,27.5,57,71.9
P00032,2025-10-03,Factory C,Line B,Afternoon,M115,Semi-Automatic,OP1056,Microwave,379,341,0,49.0,10,984,1729.94,196.83,21.3,64,96.8
P00033,2025-01-14,Factory B,Line A,Morning,M128,Automatic,OP1060,Television,498,445,3,33.0,12,635,607.98,163.91,33.2,59,71.1
P00034,2025-02-11,Factory B,Line A,Night,M135,Automatic,OP1045,Television,395,378,20,8.0,8,1072,174.47,130.1,34.8,74,66.1
P00035,2025-12-09,Factory A,Line B,Afternoon,M117,Semi-Automatic,OP1022,Air Conditioner,244,199,3,99.0,9,618,359.44,35.91,24.2,78,96.3
P00036,2025-04-12,Factory A,Line B,Morning,M120,Manual,OP1077,Refrigerator,372,337,25,72.0,8,655,1378.59,306.15,19.4,76,73.6
P00037,2025-02-24,Factory B,Line C,Night,M130,Manual,OP1020,Microwave,395,348,5,93.0,10,930,2039.68,253.72,27.7,62,93.0
P00038,2025-06-15,Factory A,Line A,Afternoon,M129,Automatic,OP1097,Microwave,483,464,36,78.0,12,644,168.88,386.65,21.6,48,74.2
P00039,2025-05-24,Factory C,Line C,Night,M101,Manual,OP1025,Refrigerator,312,284,7,92.0,12,800,1432.42,127.14,27.5,80,79.6
P00040,2025-05-31,Factory A,Line D,Night,M116,Semi-Automatic,OP1085,Air Conditioner,188,192,11,60.0,10,735,2491.92,258.92,25.0,64,70.8
P00041,2025-03-03,Factory C,Line B,Afternoon,M108,Manual,OP1069,Television,308,294,6,27.0,12,583,1839.0,440.06,28.5,53,99.2
P00042,2025-04-27,Factory B,Line B,Afternoon,M101,Manual,OP1069,Television,279,257,8,5.0,8,866,801.13,426.24,30.8,83,79.6
